car_id,waiting_time
0,0
1,0
2,1
3,0
4,6
5,0
6,7
7,5
8,7
9,1
10,6
11,0
12,2
13,7
14,0
15,6
16,4
17,2
18,2
19,1
20,0
21,2
22,2
23,3
24,5
25,1
26,1
27,0
28,3
29,16
30,2
31,23
32,24
33,0
34,17
35,22
36,0
37,11
38,6
39,19
40,4
41,8
42,5
43,9
44,1
45,3
46,5
47,19
48,8
49,5
50,8
51,10
52,3
53,0
54,5
55,1
56,6
57,3
58,0
59,6
60,1
61,1
62,1
63,9
64,11
65,8
66,24
67,7
68,20
69,25
70,25
71,20
72,21
73,4
74,24
75,20
76,16
77,18
78,17
79,0
80,23
81,16
82,7
83,20
84,22
85,13
86,16
87,20
