x,y,avg_velocity
0,0,9.45767e+11
1,0,9.45767e+11
2,0,9.45767e+11
3,0,9.45767e+11
4,0,9.45767e+11
5,0,9.45767e+11
6,0,9.45767e+11
7,0,9.45767e+11
8,0,9.45767e+11
9,0,9.45767e+11
10,0,9.45767e+11
11,0,9.45767e+11
12,0,9.45767e+11
13,0,9.45767e+11
14,0,9.45767e+11
15,0,9.45767e+11
16,0,9.45767e+11
17,0,9.45767e+11
18,0,9.45767e+11
19,0,9.45767e+11
20,0,9.45767e+11
21,0,9.45767e+11
22,0,9.45767e+11
23,0,9.45767e+11
24,0,9.45767e+11
25,0,9.45767e+11
26,0,9.45767e+11
27,0,9.45767e+11
28,0,9.45767e+11
29,0,9.45767e+11
30,0,9.45767e+11
31,0,9.45767e+11
32,0,9.45767e+11
33,0,9.45767e+11
34,0,9.45767e+11
35,0,9.45767e+11
36,0,9.45767e+11
37,0,9.45767e+11
38,0,9.45767e+11
39,0,9.45767e+11
40,0,9.45767e+11
41,0,9.45767e+11
42,0,9.45767e+11
43,0,9.45767e+11
44,0,9.45767e+11
45,0,9.45767e+11
46,0,9.45767e+11
47,0,9.45767e+11
48,0,9.45767e+11
49,0,9.45767e+11
50,0,9.45767e+11
51,0,9.45767e+11
52,0,9.45767e+11
53,0,9.45767e+11
54,0,9.45767e+11
55,0,9.45767e+11
56,0,9.45767e+11
57,0,9.45767e+11
58,0,9.45767e+11
59,0,9.45767e+11
60,0,9.45767e+11
61,0,9.45767e+11
62,0,9.45767e+11
63,0,9.45767e+11
64,0,9.45767e+11
65,0,9.45767e+11
66,0,9.45767e+11
67,0,9.45767e+11
68,0,9.45767e+11
69,0,9.45767e+11
70,0,9.45767e+11
71,0,9.45767e+11
72,0,9.45767e+11
73,0,9.45767e+11
74,0,9.45767e+11
75,0,9.45767e+11
76,0,9.45767e+11
77,0,9.45767e+11
78,0,9.45767e+11
79,0,9.45767e+11
80,0,9.45767e+11
81,0,9.45767e+11
82,0,9.45767e+11
83,0,9.45767e+11
84,0,9.45767e+11
85,0,9.45767e+11
86,0,9.45767e+11
87,0,9.45767e+11
88,0,9.45767e+11
89,0,9.45767e+11
90,0,9.45767e+11
91,0,9.45767e+11
92,0,9.45767e+11
93,0,9.45767e+11
94,0,9.45767e+11
95,0,9.45767e+11
96,0,9.45767e+11
97,0,9.45767e+11
98,0,9.45767e+11
99,0,9.45767e+11
0,1,9.45767e+11
1,1,9.45767e+11
2,1,9.45767e+11
3,1,9.45767e+11
4,1,9.45767e+11
5,1,9.45767e+11
6,1,9.45767e+11
7,1,9.45767e+11
8,1,9.45767e+11
9,1,9.45767e+11
10,1,9.45767e+11
11,1,9.45767e+11
12,1,9.45767e+11
13,1,9.45767e+11
14,1,9.45767e+11
15,1,9.45767e+11
16,1,9.45767e+11
17,1,9.45767e+11
18,1,9.45767e+11
19,1,9.45767e+11
20,1,9.45767e+11
